dataset,comparison,miRNA,n_group_a,n_group_b,group_a_label,group_b_label,mean_group_a_log2,mean_group_b_log2,sd_group_a_log2,sd_group_b_log2,log2FC_groupA_minus_groupB,fold_change_groupA_over_groupB,se_log2FC,welch_t,p_welch,q_bh_welch,p_mann_whitney,auc_groupA_high,auc_bootstrap_ci95_low,auc_bootstrap_ci95_high,is_primary_target,is_limothai_candidate
GSE150623,SD_vs_NonSevere,hsa-miR-1246,16.0,23.0,Severe dengue,Non-severe dengue,0.0,0.48658736978432005,0.0,2.333591046857465,-0.48658736978432005,0.7137113547311877,0.48658736978432005,-1.0,0.3281832618806708,0.3878545959137613,0.4342562698548038,0.4782608695652174,,,True,True
GSE150623,SD_vs_NonSevere,hsa-miR-126-5p,16.0,23.0,Severe dengue,Non-severe dengue,11.183396281901468,11.531731589965881,1.307465968198959,2.693663614589604,-0.3483353080644136,0.7854899335773331,0.6498555977371364,-0.5360195546169837,0.5954606457182688,0.6506745429674664,0.5393023866079938,0.44021739130434784,,,False,False
GSE150623,SD_vs_NonSevere,hsa-miR-146a-5p,16.0,23.0,Severe dengue,Non-severe dengue,7.074196680542419,8.051789222250855,3.0894654914681374,2.9669898068836438,-0.9775925417084368,0.5078264548804307,0.9895909175595117,-0.9878754183792786,0.3307264877452878,0.3878545959137613,0.1841987880401884,0.37228260869565216,,,False,False
GSE150623,SD_vs_NonSevere,hsa-miR-30d-5p,16.0,23.0,Severe dengue,Non-severe dengue,11.2623821582253,12.35117403732242,0.810381933134612,1.3935370647744554,-1.0887918790971192,0.47015492016727134,0.35422781525942815,-3.0737052038099084,0.004011985821112999,0.029549818643966892,0.013520786858189188,0.26358695652173914,,,False,True
GSE150623,SD_vs_NonSevere,hsa-miR-320a,16.0,23.0,Severe dengue,Non-severe dengue,13.467816077442592,12.432174962362136,1.447523515230935,1.2134783899492187,1.0356411150804554,2.050024448117082,0.4415663091249285,2.345380735982397,0.026164250870117835,0.10071264405281538,0.035854568718294545,0.7010869565217391,,,False,False
GSE150623,SD_vs_NonSevere,hsa-miR-424-5p,16.0,23.0,Severe dengue,Non-severe dengue,2.878270325372907,5.392721192080765,3.059936077959993,3.4714940781859878,-2.5144508667078584,0.1750148364540028,1.0531708599687253,-2.387505163960316,0.022522251741177474,0.09225692424460934,0.012439398404806595,0.266304347826087,,,False,True
GSE150623,SD_vs_NonSevere,hsa-miR-486-5p,16.0,23.0,Severe dengue,Non-severe dengue,18.949469046215643,18.813496053904885,0.4493383526530708,0.606224498442359,0.13597299231075866,1.0988336468848037,0.16910846989321252,0.804057847585174,0.4265268654150277,0.4896597669212628,0.6375634706785563,0.5461956521739131,,,False,False
GSE150623,SD_vs_NonSevere,hsa-miR-574-5p,16.0,23.0,Severe dengue,Non-severe dengue,0.8788897229406082,2.0467755814046895,2.4362177839494863,2.4708089575627534,-1.1678858584640812,0.4450730780283216,0.7977327988646807,-1.4640063190659778,0.1527334309120641,0.3086907864871797,0.09714744596067243,0.3695652173913043,,,True,True
GSE169170,DHF_DSS_vs_DF,hsa-miR-122-5p,5.0,3.0,DHF/DSS severe-spectrum dengue,Dengue fever,0.13750352374993502,0.13750352374993502,0.0,0.0,0.0,1.0,0.0,,,,1.0,,,,False,True
GSE169170,DHF_DSS_vs_DF,hsa-miR-1246,5.0,3.0,DHF/DSS severe-spectrum dengue,Dengue fever,1.904487159046368,1.3835703447977064,0.8949853246921783,1.0807330722272919,0.5209168142486615,1.4348667978463394,0.7413013809633388,0.7027058462668959,0.5242004639405837,0.7608773383727945,0.5714285714285714,0.6666666666666666,,,True,True
GSE169170,DHF_DSS_vs_DF,hsa-miR-126-5p,5.0,3.0,DHF/DSS severe-spectrum dengue,Dengue fever,0.13750352374993502,0.13750352374993502,0.0,0.0,0.0,1.0,0.0,,,,1.0,,,,False,False
GSE169170,DHF_DSS_vs_DF,hsa-miR-1303,5.0,3.0,DHF/DSS severe-spectrum dengue,Dengue fever,0.13750352374993502,0.13750352374993502,0.0,0.0,0.0,1.0,0.0,,,,1.0,,,,False,True
GSE169170,DHF_DSS_vs_DF,hsa-miR-146a-5p,5.0,3.0,DHF/DSS severe-spectrum dengue,Dengue fever,0.13750352374993502,0.13750352374993502,0.0,0.0,0.0,1.0,0.0,,,,1.0,,,,False,False
GSE169170,DHF_DSS_vs_DF,hsa-miR-30d-5p,5.0,3.0,DHF/DSS severe-spectrum dengue,Dengue fever,0.6750347335454776,0.13750352374993502,1.2019563251305339,0.0,0.5375312097955426,1.4514865563421362,0.5375312097955425,1.0000000000000002,0.3739009663000589,0.6895264872888526,0.6055766163353464,0.6,,,False,True
GSE169170,DHF_DSS_vs_DF,hsa-miR-320a,5.0,3.0,DHF/DSS severe-spectrum dengue,Dengue fever,1.0517333625366159,2.1703147782499275,1.5037212119267276,0.7828477166453195,-1.1185814157133116,0.46054645240597514,0.8102586083829084,-1.3805239514156415,0.21675530210887828,0.6895264872888526,0.22169999376487637,0.2,,,False,False
GSE169170,DHF_DSS_vs_DF,hsa-miR-424-5p,5.0,3.0,DHF/DSS severe-spectrum dengue,Dengue fever,0.13750352374993502,0.13750352374993502,0.0,0.0,0.0,1.0,0.0,,,,1.0,,,,False,True
GSE169170,DHF_DSS_vs_DF,hsa-miR-486-5p,5.0,3.0,DHF/DSS severe-spectrum dengue,Dengue fever,5.22397748336333,6.190212820664764,1.5240224458064418,0.6648026522966007,-0.9662353373014341,0.5118399503377296,0.7822082450118818,-1.23526611163087,0.26459472249575466,0.6895264872888526,0.5714285714285714,0.3333333333333333,,,False,False
GSE169170,DHF_DSS_vs_DF,hsa-miR-574-5p,5.0,3.0,DHF/DSS severe-spectrum dengue,Dengue fever,7.179791520059071,6.913717922782891,0.8746581139473197,0.3754857799133253,0.2660735972761801,1.2025305929218681,0.44721570511087366,0.5949558439818546,0.5745220864911712,0.790481212802739,0.2938258471896372,0.7666666666666667,,,True,True
GSE169170,DSS_vs_DF,hsa-miR-122-5p,2.0,3.0,Dengue shock syndrome,Dengue fever,0.13750352374993502,0.13750352374993502,0.0,0.0,0.0,1.0,0.0,,,,1.0,,,,False,True
GSE169170,DSS_vs_DF,hsa-miR-1246,2.0,3.0,Dengue shock syndrome,Dengue fever,1.9927008117510023,1.3835703447977064,1.649969558261004,1.0807330722272919,0.609130466953296,1.525339587750431,1.3230751160570162,0.4603899352053465,0.7004008186419268,0.9566476257718497,0.8,0.6666666666666666,,,True,True
GSE169170,DSS_vs_DF,hsa-miR-126-5p,2.0,3.0,Dengue shock syndrome,Dengue fever,0.13750352374993502,0.13750352374993502,0.0,0.0,0.0,1.0,0.0,,,,1.0,,,,False,False
GSE169170,DSS_vs_DF,hsa-miR-1303,2.0,3.0,Dengue shock syndrome,Dengue fever,0.13750352374993502,0.13750352374993502,0.0,0.0,0.0,1.0,0.0,,,,1.0,,,,False,True
GSE169170,DSS_vs_DF,hsa-miR-146a-5p,2.0,3.0,Dengue shock syndrome,Dengue fever,0.13750352374993502,0.13750352374993502,0.0,0.0,0.0,1.0,0.0,,,,1.0,,,,False,False
GSE169170,DSS_vs_DF,hsa-miR-30d-5p,2.0,3.0,Dengue shock syndrome,Dengue fever,0.13750352374993502,0.13750352374993502,0.0,0.0,0.0,1.0,0.0,,,,1.0,,,,False,True
GSE169170,DSS_vs_DF,hsa-miR-320a,2.0,3.0,Dengue shock syndrome,Dengue fever,0.6912143791002514,2.1703147782499275,0.7830654012696245,0.7828477166453195,-1.479100399149676,0.3587124194880446,0.714758159905649,-2.069371826891663,0.15890082358857838,0.9351025922870081,0.2,0.0,,,False,False
GSE169170,DSS_vs_DF,hsa-miR-424-5p,2.0,3.0,Dengue shock syndrome,Dengue fever,0.13750352374993502,0.13750352374993502,0.0,0.0,0.0,1.0,0.0,,,,1.0,,,,False,True
GSE169170,DSS_vs_DF,hsa-miR-486-5p,2.0,3.0,Dengue shock syndrome,Dengue fever,5.334584468151665,6.190212820664764,1.4308658458887005,0.6648026522966007,-0.855628352513099,0.5526245836989709,1.0821318727242033,-0.7906876916573069,0.5480297389525967,0.9351025922870081,0.8,0.3333333333333333,,,False,False
GSE169170,DSS_vs_DF,hsa-miR-574-5p,2.0,3.0,Dengue shock syndrome,Dengue fever,7.351119706593609,6.913717922782891,0.16991899077994876,0.3754857799133253,0.43740178381071804,1.354163354693953,0.2478563199776789,1.7647392806046218,0.17977288558332816,0.9351025922870081,0.23613697022165292,0.9166666666666666,,,True,True
GSE169170,DSS_vs_DHF,hsa-miR-122-5p,2.0,3.0,Dengue shock syndrome,Dengue haemorrhagic fever,0.13750352374993502,0.13750352374993502,0.0,0.0,0.0,1.0,0.0,,,,1.0,,,,False,True
GSE169170,DSS_vs_DHF,hsa-miR-1246,2.0,3.0,Dengue shock syndrome,Dengue haemorrhagic fever,1.9927008117510023,1.8456780572432783,1.649969558261004,0.4773136044875507,0.14702275450772406,1.107282048645816,1.198808796515791,0.12264070378448165,0.920728193018372,0.9999300698673501,1.0,0.5,,,True,True
GSE169170,DSS_vs_DHF,hsa-miR-126-5p,2.0,3.0,Dengue shock syndrome,Dengue haemorrhagic fever,0.13750352374993502,0.13750352374993502,0.0,0.0,0.0,1.0,0.0,,,,1.0,,,,False,False
GSE169170,DSS_vs_DHF,hsa-miR-1303,2.0,3.0,Dengue shock syndrome,Dengue haemorrhagic fever,0.13750352374993502,0.13750352374993502,0.0,0.0,0.0,1.0,0.0,,,,1.0,,,,False,True
GSE169170,DSS_vs_DHF,hsa-miR-146a-5p,2.0,3.0,Dengue shock syndrome,Dengue haemorrhagic fever,0.13750352374993502,0.13750352374993502,0.0,0.0,0.0,1.0,0.0,,,,1.0,,,,False,False
GSE169170,DSS_vs_DHF,hsa-miR-30d-5p,2.0,3.0,Dengue shock syndrome,Dengue haemorrhagic fever,0.13750352374993502,1.0333888734091727,0.0,1.5517189433664085,-0.8958853496592377,0.5374172930468465,0.8958853496592376,-1.0000000000000002,0.42264973081037416,0.9999300698673501,0.6830913983096087,0.3333333333333333,,,False,True
GSE169170,DSS_vs_DHF,hsa-miR-320a,2.0,3.0,Dengue shock syndrome,Dengue haemorrhagic fever,0.6912143791002514,1.2920793514941924,0.7830654012696245,1.999783994843946,-0.600864972393941,0.6593585163622429,1.2804846946934259,-0.4692480705814296,0.6737217090174595,0.9999300698673501,1.0,0.5,,,False,False
GSE169170,DSS_vs_DHF,hsa-miR-424-5p,2.0,3.0,Dengue shock syndrome,Dengue haemorrhagic fever,0.13750352374993502,0.13750352374993502,0.0,0.0,0.0,1.0,0.0,,,,1.0,,,,False,True
GSE169170,DSS_vs_DHF,hsa-miR-486-5p,2.0,3.0,Dengue shock syndrome,Dengue haemorrhagic fever,5.334584468151665,5.15023949350444,1.4308658458887005,1.8976855520269136,0.18434497464722543,1.136300942544529,1.491339002123916,0.12361037590023957,0.9099645398349745,0.9999300698673501,1.0,0.5,,,False,False
GSE169170,DSS_vs_DHF,hsa-miR-574-5p,2.0,3.0,Dengue shock syndrome,Dengue haemorrhagic fever,7.351119706593609,7.065572729036044,0.16991899077994876,1.2110719033313302,0.28554697755756475,1.2188722943909533,0.7094607929453854,0.4024845071030532,0.7243688819894617,0.9999300698673501,0.8,0.3333333333333333,,,True,True
GSE190749,SD_vs_NonSevere,hsa-miR-122-5p,8.0,11.0,Severe dengue,Non-severe dengue,7.9621180519855645,5.766768131928444,,,2.1953499200571205,4.580007370618255,,2.4325407364819918,0.0317406647256867,0.9413072241304024,0.0327591225424042,0.7954545454545454,,,False,True
