dataset,comparison,miRNA,n_group_a,n_group_b,group_a_label,group_b_label,mean_group_a_log2,mean_group_b_log2,sd_group_a_log2,sd_group_b_log2,log2FC_groupA_minus_groupB,fold_change_groupA_over_groupB,se_log2FC,welch_t,p_welch,q_bh_welch,p_mann_whitney,auc_groupA_high,auc_bootstrap_ci95_low,auc_bootstrap_ci95_high
GSE190749,SD_vs_NonSevere,hsa-miR-4454+hsa-miR-7975,8.0,11.0,Severe dengue,Non-severe dengue,12.48970442676019,11.250833448811294,,,1.2388709779488956,2.3601376071281583,,2.0908045137046365,0.0571672834162952,0.9413072241304024,0.0506205181127781,0.7727272727272727,,
GSE190749,SD_vs_NonSevere,hsa-miR-509-5p,8.0,11.0,Severe dengue,Non-severe dengue,2.0974276801535257,3.222948802423342,,,-1.1255211222698165,0.4583364339631315,,-2.0153848441459865,0.0604014075199939,0.9413072241304024,0.0474116208267329,0.2215909090909091,,
GSE190749,SD_vs_NonSevere,hsa-miR-320e,8.0,11.0,Severe dengue,Non-severe dengue,9.94623377467336,8.593864070189952,,,1.3523697044834098,2.553311764531687,,2.0230283255673647,0.060771697593017,0.9413072241304024,0.0620253499510465,0.7613636363636364,,
GSE190749,SD_vs_NonSevere,hsa-miR-556-5p,8.0,11.0,Severe dengue,Non-severe dengue,1.7492110270977137,3.06668322185758,,,-1.3174721947598664,0.4012373476931691,,-2.011857465780924,0.0648801823373435,0.9413072241304024,0.1086502077214151,0.2727272727272727,,
GSE190749,SD_vs_NonSevere,hsa-miR-1290,8.0,11.0,Severe dengue,Non-severe dengue,6.546232904946221,5.905415392585021,,,0.6408175123611999,1.559212446730699,,2.036409851007993,0.0653106219055544,0.9413072241304024,0.0908417348045831,0.7386363636363636,,
GSE190749,SD_vs_NonSevere,hsa-miR-1246,8.0,11.0,Severe dengue,Non-severe dengue,7.40128751018524,5.733747646304206,,,1.667539863881034,3.1767242478375177,,2.0929649306611537,0.0677551880881549,0.9413072241304024,0.0620253499510465,0.7613636363636364,,
GSE190749,SD_vs_NonSevere,hsa-miR-548l,8.0,11.0,Severe dengue,Non-severe dengue,1.146784624868875,0.313465237763542,,,0.8333193871053326,1.781780212104753,,2.106708170839,0.0687172886722955,0.9413072241304024,0.0175856509535298,0.8295454545454546,,
GSE190749,SD_vs_NonSevere,hsa-miR-1279,8.0,11.0,Severe dengue,Non-severe dengue,3.5525154463118835,4.562119515549045,,,-1.0096040692371615,0.4966825377233628,,-2.0592203342482964,0.0692599914122418,0.9413072241304024,0.0620253499510465,0.2386363636363636,,
GSE190749,SD_vs_NonSevere,hsa-miR-1236-3p,8.0,11.0,Severe dengue,Non-severe dengue,2.6218677469991745,3.865106391495655,,,-1.2432386444964805,0.4224233109537085,,-2.0363659951833526,0.0719257817979679,0.9413072241304024,0.1086502077214151,0.2727272727272727,,
GSE190749,SD_vs_NonSevere,hsa-miR-10a-5p,8.0,11.0,Severe dengue,Non-severe dengue,3.009284336689628,1.6784711919056858,,,1.330813144783942,2.515444126862445,,1.9332971245637416,0.0729959614984933,0.9413072241304024,0.0569960544202464,0.7670454545454546,,
GSE190749,SD_vs_NonSevere,hsa-miR-379-5p,8.0,11.0,Severe dengue,Non-severe dengue,5.795365867811708,6.344530152942883,,,-0.5491642851311749,0.6834158983911546,,-1.9224078646154896,0.0735272503956911,0.9413072241304024,0.0630708437851143,0.2386363636363636,,
GSE190749,SD_vs_NonSevere,hsa-miR-182-3p,8.0,11.0,Severe dengue,Non-severe dengue,0.3758826401278176,1.0992811447340274,,,-0.7233985046062098,0.6056690077939267,,-1.92959488833542,0.074273999592944,0.9413072241304024,0.260743871237741,0.3409090909090909,,
GSE190749,SD_vs_NonSevere,hsa-miR-222-3p,8.0,11.0,Severe dengue,Non-severe dengue,7.540056311019647,6.044048750590346,,,1.4960075604293008,2.820610702312943,,1.9702319716044407,0.0750668951442138,0.9413072241304024,0.0620253499510465,0.7613636363636364,,
GSE190749,SD_vs_NonSevere,hsa-miR-141-3p,8.0,11.0,Severe dengue,Non-severe dengue,1.4195722101807962,2.614733851372832,,,-1.1951616411920358,0.4367375126497355,,-1.880896381793185,0.0810742470026026,0.9413072241304024,0.0630708437851143,0.2386363636363636,,
