,sample_20035,Sample_20139,sample_20185,Sample_20260,Sample_20464,sample_20476,Sample_20654,Sample_20655,Sample_20688,Sample_20736,sample_B10,Sample_B11,Sample_B12,Sample_B13,Sample_B14,sample_B15,Sample_B2,Sample_B3,Sample_B4,Sample_B5,sample_B6,Sample_B7,Sample_B8,Sample_B9,Sample_C1,sample_C10,Sample_C11,Sample_C12,Sample_C13,Sample_C14,Sample_C15,Sample_C2,Sample_C3,Sample_C4,Sample_C5,Sample_C6,Sample_C7,Sample_C8,Sample_C9
hsa-miR-181b-5p,1375,833,506,995,1786,2449,153,36,2303,905,69,467,907,235,1300,247,1343,1172,3628,327,853,980,1854,762,19,99,24,77,29,11,1,34,11,83,25,19,1,29,0
hsa-miR-181c-5p,285,324,403,98,265,527,19,0,394,136,4,27,132,5,49,73,409,32,1161,12,232,309,284,127,11,1,9,4,0,0,2,14,5,0,0,5,0,2,0
hsa-miR-181d-5p,18,97,28,9,88,176,0,1,276,191,3,5,24,2,19,2,44,26,21,0,5,34,55,3,0,9,0,0,0,0,0,4,0,0,0,0,0,0,0
hsa-miR-182-5p,439,1403,993,365,1065,72,0,0,394,502,41,327,1101,171,267,292,625,0,2197,247,1079,1316,1497,351,4,69,0,43,10,0,5,17,8,0,0,2,10,52,1
hsa-miR-183-5p,24,61,25,15,30,5,0,0,0,0,6,41,89,0,18,10,59,2,161,4,0,0,0,55,4,6,0,1,2,0,0,1,0,5,0,0,0,1,0
hsa-miR-184,0,4,0,0,4,0,5,0,0,0,7,8,9,7,0,2,0,0,0,5,2,13,22,0,7,0,0,0,0,0,1,0,0,0,3,0,0,0,0
hsa-miR-185-5p,21,25,24,2,70,31,0,0,58,13,20,40,54,4,18,11,68,15,77,41,66,28,0,34,0,10,0,5,0,7,0,1,4,0,0,0,0,8,0
hsa-miR-186-5p,5431,2034,2056,1872,3453,2573,104,22,5644,1105,428,1032,3586,464,1072,446,7266,658,19235,1130,8005,4905,5655,2785,98,360,60,121,61,14,5,71,8,87,41,22,29,196,3
hsa-miR-187-5p,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-188-5p,0,8,4,15,11,1,0,0,4,4,0,14,20,4,21,0,4,2,45,2,24,6,12,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
hsa-miR-18a-5p,0,44,40,0,0,0,0,0,17,10,0,0,0,0,0,0,32,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
hsa-miR-18b-5p,11,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1908-5p,0,19,0,11,11,10,0,6,44,13,0,0,6,0,0,0,2,0,3,7,0,3,4,4,24,10,13,10,0,0,0,0,0,0,3,3,0,0,0
hsa-miR-1909-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-190b,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
hsa-miR-191-5p,5686,28117,24994,3745,12761,3824,71,98,10586,4671,157,881,3042,287,662,360,7519,370,8053,1214,2051,6296,3800,3292,65,62,144,241,20,18,8,99,16,27,91,67,61,80,1
hsa-miR-1915-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-192-5p,4695,449,631,11589,1176,648,51,134,920,895,94,1702,3204,692,1743,314,2293,331,16329,2030,11847,11288,5832,1018,95,161,125,242,30,42,37,242,30,70,55,29,72,87,1
hsa-miR-193a-5p,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,13,19,0,10,0,5,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-193b-3p,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
hsa-miR-193b-5p,27,5,0,225,5,5,7,19,31,20,0,0,135,54,0,2,15,18,143,154,191,0,0,18,8,9,56,66,0,0,0,51,9,57,7,13,0,0,1
hsa-miR-194-5p,18,27,12,150,27,10,0,0,19,14,0,4,49,3,31,0,9,0,112,17,67,78,47,11,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0
hsa-miR-195-5p,0,0,0,2,11,5,0,0,0,8,0,0,8,0,1,0,0,0,6,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-196a-5p,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,0,3,0,5,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
